entidad,descripcion,titulo,tipo,herencia,kontroler,formulario
"CAJAAUDITORIA","Caja auditoria","Caja auditoria","E","","",F
"CAJAESTADO","Caja","Caja","E","","",T
"CAJASALDOS","Saldos de caja","Saldos de caja","E","","",F
"ITEMCAJAAUDITORIA","Valores de la caja de auditoría","Valores de la caja de auditoría","I","","",F
"MOVIMIENTODECAJA","Movimientos de caja","Movimientos de caja","E","","",F
"ITEMIMPUESTOS","Items de impuestos","","I","IMPUESTOS","",F
"ITEMVALORESCAJA","Items de valores para movimientos de caja","","I","ValoresFondos","",F
"CONCEPTOCAJA","Conceptos","Conceptos","E","","",T
"COMPROBANTEDECAJA","Comprobante de movimientos de caja","Comprobante de movimientos de caja","E","Ent_ComprobanteDeFondos","ComprobanteDeFondos",T
"GRUPOVALOR","Agrupamiento de valores","Grupo de valores","E","","",T
"MODIFICACIONPRECIOS","Modificación de precios","Modificación de precios","E","","",T
"ITEMMODIFICACIONPRECIOS","Item modificación de precios","Item modificación de precios","I","","",F
"MOVIMIENTODESTOCK","Movimiento de stock","Movimiento de stock","E","Ent_ComprobanteMovStock","Comprobante",T
"ITEMMOVSTOCK","Items de movimiento de stock","Items de movimiento de stock","I","MovStock","",F
"BUZON","Buzón para transferencias","Buzón para transferencias","E","","",T
"PAISES","Paises","Paises","E","","",T
"Talonario","Talonario","Talonario","E","","",T
"Numeraciones","Numeraciones","Numeraciones","E","","",T
"Itemtalonario","Item talonario","Item talonario","I","","",F
"Devolucion","Cancelación de venta","Devolución","E","Ent_ComprobanteDeVentasSinValores","ComprobanteDeVentasSinValores",T
"InformacionAdicionalCompVtas","Informacion adicional","Informacion adicional","E","","",T
"PERCEPCION","Percepciones","Percepciones","E","","",T
"AJUSTEDESTOCK","Stock según seguimiento contra stock","Stock según seguimiento contra stock","E","","",T
"ITEMAJUSTEDESTOCK","Items de ajuste de stock","Items de ajuste de stock","I","AjusteCombinacion","",F
"AGRUPAMIENTO","Agrupamientos de Bases de Datos","Agrupamientos","E","","",T
"ITEMAGRUPAMIENTO","Item de agrupamientos de bases de datos","Item agrupamientos","I","","",F
"ITEMBASEDEDATOS","Item de agrupamientos de bases de datos","Item agrupamientos","I","","",F
"BASEDEDATOS","Base de datos","Base de datos","E","","",T
"CTACTE","Cuenta corriente","Cuenta corriente","E","","",F
"RECIBO","Recibo","Recibo","E","Ent_ComprobanteDeVentasConValores","ComprobanteDeVentasConValores",T
"ITEMRECIBO","Detalle de comprobante de recibos","","I","","",F
"Memoria","Memoria","Memoria Formulario","E","","",F
"ITEMCOMPROBANTE","Detalle de comprobantes","","I","","",F
"Disenoimpresion","Diseño de salida","Diseño de salida","E","","",T
"Itemareasimpresion","Item areas impresión","Item areas impresión","I","","",F
"Itematributosimpresion","Item atributos impresión","Item atributos impresión","I","","",F
"Tipoareaimpresion","Tipo de área de impresión","Tipo de área de impresión","E","","",F
"Estiloimpresion","Estilo de impresión","Estilo de impresión","E","","",T
"Tipoatributoimpresion","Tipo de atributo de impresión","Tipo de atributo de impresión","E","","",F
"Selecciondisenoimpresion","Selección diseño de salida","Selección diseño de salida","E","","",T
"DisenoExpo","Diseño de exportación","Diseño de exportación","E","ent_ImpoExpo","",T
"ItemAtributosExpo","Item atributos exportación","Item atributos exportación","I","","",F
"DESCUENTO","Descuentos y recargos","Descuentos y recargos","E","","",T
"FormatoExportacion","Formatos para exportación/importación","Formatos para exportación/importación","E","","",T
"TipoAreaExportacion","Tipos de área para exportación/importación","Tipos de área para exportación/importación","E","","",F
"TipoAtributosExportacion","Tipo de atributo para exportación/importación","Tipo de atributo para exportación/importación","E","","",F
"ItemAreasExpo","Item areas exportación","Item areas exportación","I","","",F
"TipoArchivoExportacion","Tipo de archivo de exportación","Tipo de archivo de exportación","E","","",F
"TipoRegistroExportacion","Tipo de registro de exportación/importación","Tipo de registro de exportación/importación","E","","",F
"Conversion","Conversión de datos","Conversiones de datos","E","","",T
"ConversionValores","Valores de conversión","Valores de conversión","E","","",T
"ExpoAgrupadas","Configuración de exportaciones agrupadas","Configuración de exportaciones agrupadas","E","ent_impoexpoagrupadas","",T
"ItemExpoAgrupadas","Item diseños de exportación agrupados","Item diseños de exportación agrupados","I","","",F
"ItemAtributosImpo","Item atributos importación","Item atributos importación","I","","",F
"ItemAreasImpo","Item areas importación","Item areas importación","I","","",F
"TipoArchivoImportacion","Tipo de archivo de importación","Tipo de archivo de importación","E","","",F
"ImpoAgrupadas","Configuración de importaciones agrupadas","Configuración de importaciones agrupadas","E","ent_impoexpoagrupadas","",T
"ItemImpoAgrupadas","Item diseños de importación agrupados","Item diseños de importación agrupados","I","","",F
"TIInventarioACont","Inventario a controlar","Inventario a controlar","E","","",T
"TIInventarioAContDetalle","Detalle de inventario a controlar","Inventario a controlar detalle","E","","",F
"TIInventarioFisico","Inventario físico","Inventario físico","E","","",T
"TIInventarioFisicoDetalle","Detalle de inventario físico","Inventario físico detalle","E","","",T
"TIDiferenciasDeInventario","Diferencias de inventario","Diferencia de inventario","E","","",T
"TIDiferenciasDeInventarioDetalle","Detalle de diferencias de inventario","Detalle de diferencias de inventario","E","","",T
"EQUIVALENCIA","Equivalencias","Equivalencias","E","","",T
"RedondeoDePrecios","Redondeo de precios","Redondeo de precios","E","","",T
"ItemRedondeoTabla","Item de redondeos por tabla","","I","","",F
"ItemRedondeoCentavos","Item de redondeos por centavos","","I","","",F
"ItemRedondeoEnteros","Item de redondeos por enteros","","I","","",F
"ItemPruebaRedondeo","Item de prueba para redondeos","","I","","",F
"CONDICIONIMPO","Condiciones de exclusión","Condiciones de exclusión","E","","",T
"DisenoImpo","Diseño de importación","Diseño de importación","E","Ent_ImpoExpo","",T
"Picking","Picking","Picking","E","","",T
"ItemComprobantesPicking","Item comprobantes picking","Picking","I","","",F
"ItemDiferenciasPicking","Item diferencias picking","Diferencias picking","I","","",F
"ItemOkPicking","Item OK Picking","OK Picking","I","PickingControlados","",F
"ItemImpuestoVentas","Item impuestos de venta","Item impuestos de venta","I","","",F
"DatosFiscales","Esquema de datos fiscales","Esquema de datos fiscales","E","","",T
"ItemDatosFiscales","Item datos fiscales","Item datos fiscales","I","","",F
"Jurisdiccion","Jurisdicciones","Jurisdicciones","E","","",T
"ItemPercepciones","Item percepciones cliente","Percepciones cliente","I","","",F
"ItemCAI","Item CAI","Item CAI","I","","",F
"CAI","Código de autorización de autoimpresión","Código de autorización de autoimpresión","E","","",T
"Script","Scripts de ejecución","Scripts de ejecución","E","","",T
"ItemInstruccionScript","Item de instrucciones de scripts","","I","","",F
"ValeDeCambio","Vale de cambio - GiftCard","Vale de cambio - GiftCard","E","","",T
"ConsumoCliente","Consumo de cliente","Consumo de clientes","E","","",T
"LIMITECONSUMO","Límite de consumos","Límite de consumos","E","","",T
"REGLASTRANSFERENCIAS","Reglas para la recepción de transferencias","Reglas de transferencias","E","","",T
"ErroresCFibm4610kc4","Controlador fiscal IBM 4610 KC4","Controlador fiscal IBM 4610 KC4","E","","",F
"CodigoPostal","Código postal","Códigos postales","E","","",F
"Accionesautomaticas","Acciones automáticas","Acciones automáticas","E","","",T
"Itemaccionesautomaticas","Item acciones automaticas","Item acciones automaticas","I","","",F
"SENIA","Seña","Seña","E","","",T
"PEDIDO","Pedido de venta","Pedido","E","Ent_ComprobanteDeVentasSinValores","ComprobanteDeVentasSinValores",T
"ITEMAJSTOCKART","Item ajuste de stock por articulos","ajuste stock por articulo","I","AjusteArticulos","",F
"ITEMAJAUDICOMBINACION","Item ajuste de stock por auditoria de combinaciones","ajuste stock por auditoria stock combinación","I","AjusteCombinacion","",F
"ITEMAJAUDIARTICULOS","Item ajuste de stock por auditoria de artículos","ajuste stock por auditoria stock artículos","I","AjusteArticulos","",F
"ITEMARTICULOSSENIADOS","Items de señas","Detalle de señas","I","ARTICULOSSENIADOS","",F
"ITEMSENIAS","Items de la entidad seña","Detalle de seña","I","","",F
"ImpresionDeEtiqueta","Impresión de etiquetas","Impresión de etiquetas","E","","",T
"ITEMIMPETIQUETA","Item impresión de etiquetas","Item impresión de etiquetas","I","ImpEtiqueta","",F
"CLASIFICACIONCLIENTE","Clasificación","Clasificaciones de clientes","E","","",T
"SENIAPENDIENTE","Seña pendiente","Seleccione señas pendientes","E","","",T
"ITEMSENIAPENDIENTE","Item de seña pendiente","Seña pendiente","I","","",F
"CHEQUE","Cheques","Cheques","E","Ent_CarteraDeCheques","",T
"IMPUESTO","Impuestos","Impuestos","E","","",T
"ITEMARTICULOSCOMPRA","Items de facturas de compra","Linea detalle factura de compra","I","ARTICULOSCOMPRA","",F
"ItemImpuestoCompra","Item impuestos compra","Item impuestos compra","I","IMPUESTOSCOMPRAS","",T
"FACTURADECOMPRA","Factura de compra","Factura de compra","E","ENT_COMPROBANTEDECOMPRASCONVALORES","ComprobanteDeComprasConValores",T
"ITEMVALORESCOMPRA","Items de valores de compra","Linea detalle valores de compra","I","VALORESCOMPRA","",F
"ITEMIMPUESTOSC","Items de impuestos de compra","","I","IMPUESTOS","",F
"OPERADORADETARJETA","Operadoras de tarjetas","Operadoras de tarjetas","E","","",T
"ITEMPLANDECUOTA","Item de recargos y descuentos de planes de cuotas","Item de recargos y descuentos de planes de cuotas","I","","",F
"CIERREDELOTE","Cierre de lote","Cierre de lote","E","","",T
"ITEMLOTE","Item lote","Item lote","I","","",F
"POS","Dispositivos POS","Dispositivos POS","E","","",T
"CUPON","Cupones","Cupones","E","","",T
"ITEMOPERADORASDETARJETA","Items de operadoras de tarjetas","","I","","",F
"PRESUPUESTO","Presupuesto de venta","Presupuesto","E","Ent_ComprobanteDeVentasSinValores","ComprobanteDeVentasSinValores",T
"TIPOIMPUESTO","Tipos de impuesto","Tipos de impuesto","E","","",T
"TRANSPORTISTA","Transportistas","Transportistas","E","","",T
"DATOSTARJETA","Datos de cobro con tarjeta","Ingrese los datos para el cobro con tarjeta","E","","",T
"ITEMDATOSPLANES","Items datos planes","","I","","",T
"CALCULODEPRECIOS","Modificación masiva de precios","Modificación masiva de precios","E","","",T
"ITEMCALCULODEPRECIOS","Item cálculo de precios","Item cálculo de precios","I","CALCULODEPRECIOS","",F
"TRATAMIENTOCOMPROBANTES","Tratamiento de comprobantes fiscales","Tratamiento de comprobantes fiscales","E","","",T
"FACTURAELECTRONICA","Factura electrónica de venta","Factura electrónica nacional","E","Ent_ComprobanteElectronicoNacional","ComprobanteElectronico",T
"NOTADECREDITOELECTRONICA","Nota de crédito electrónica de venta","Nota de crédito electrónica nacional","E","Ent_ComprobanteElectronicoNacional","ComprobanteElectronico",T
"NOTADEDEBITOELECTRONICA","Nota de débito electrónica de venta","Nota de débito electrónica nacional","E","Ent_ComprobanteElectronicoNacional","ComprobanteElectronico",T
"CAE","CAE","CAE","E","","",F
"FAVORITOLISTADOS","Listados favoritos","Listados favoritos","E","","",F
"ITEMFAVORITOSLISTADOS","Detalle de listados favoritos","Detalle de listados favoritos","I","","",F
"CAEPORLOTE","Obtención de CAE por lote","Obtención de CAE por lote","E","","",T
"COMPORTAMIENTOCODIGOSUGERIDOENTIDAD","Comportamiento de códigos","Comportamiento de códigos","E","","",T
"ZUDESCARGALAN","Actualizaciones para servidor de red","Actualizaciones para servidor de red","E","","",T
"INFORMACIONLISTADOS","Informacion adicional de listados","Informacion adicional de listados","E","","",F
"CTACTECOMPRA","Cuenta corriente de compra","Cuenta corriente de compra","E","","",F
"ORDENDEPAGO","Orden de pago","Orden de pago","E","ENT_COMPROBANTEDECOMPRASCONVALORES","ComprobanteDeComprasConValores",T
"ITEMORDENDEPAGO","Item orden de pago","","I","","",F
"NOTADEDEBITOCOMPRA","Nota de débito de compra","Nota de débito de compra","E","Ent_ComprobanteDeComprasConValores","ComprobanteDeComprasConValores",T
"ITEMARTICULOSNDCOMPRA","Items de nota de débito de compra","Linea detalle nota de débito de compra","I","ARTICULOSCOMPRA","",F
"ITEMVALORESNDCOMPRA","Items de valores de nota débito compra","Linea detalle valores de nota débito de compra","I","VALORESCOMPRA","",F
"ITEMIMPUESTOSNDC","Items de impuestos de nota débito de compra","","I","IMPUESTOS","",F
"ITEMIMPUESTONDCOMPRA","Item impuestos nota débito de compra","Item impuestos nota débito de compra","I","IMPUESTOSCOMPRAS","",T
"NOTADECREDITOCOMPRA","Nota de crédito de compra","Nota de crédito de compra","E","Ent_ComprobanteDeComprasConValores","ComprobanteDeComprasConValores",T
"ITEMARTICULOSNCCOMPRA","Items de nota de crédito de compra","Linea detalle nota de crédito de compra","I","ARTICULOSCOMPRA","",F
"ITEMVALORESNCCOMPRA","Items de valores de nota crédito de compra","Linea detalle valores de nota crédito de compra","I","VALORESCOMPRA","",F
"ITEMIMPUESTOSNCC","Items de impuestos de nota crédito de compra","","I","IMPUESTOS","",F
"ITEMIMPUESTONCCOMPRA","Item impuestos nota crédito de compra","Item impuestos nota crédito de compra","I","IMPUESTOSCOMPRAS","",T
"SUCURSALBANCARIA","Sucursal bancaria","Sucursal bancaria","E","","",T
"CUENTABANCARIA","Cuenta bancaria","Cuenta bancaria","E","","",T
"CHEQUERA","Chequera","Chequera","E","","",T
"CHEQUEPROPIO","Cheques propios","Cheques propios","E","Ent_CarteraDeCheques","",T
"ESTADOCONTROLADORFISCAL","Estado de los controladores fiscales","Estado de los controladores fiscales","E","","",F
"CANJEDECUPONES","Canje de valores","Canje de valores","E","Ent_ComprobanteDeFondos","ComprobanteDeFondos",T
"ITEMCANJECUPONES","Item canje de cupones","","I","ValoresFondos","",T
"ITEMCUPON","Item cupon","","I","Cupon","",F
"CUPONESPENDIENTES","Detalle de cupones","Detalle de cupones","E","","",T
"FACTURAELECTRONICAEXPORTACION","Factura electrónica exportación de venta","Factura electrónica exportación","E","Ent_ComprobanteElectronicoExportacion","ComprobanteElectronicoExportacion",T
"INCOTERMS","Incoterms","Incoterms","E","","",T
"UnidadDeMedida","Unidad de medida","Unidades de medida","E","","",T
"UNIDADDEMEDIDAAFIP","Unidad de medida AFIP","Unidades de medida AFIP","E","","",T
"ITEMPAIS","Item de paises","Item de paises","I","","",F
"PAISAFIP","Pais AFIP","Pais AFIP","E","","",T
"MONEDAAFIP","Moneda AFIP","Moneda AFIP","E","","",T
"NOTADECREDITOELECTRONICAEXPORTACION","Nota de crédito electrónica exportación de venta","Nota de crédito electrónica exportación","E","Ent_ComprobanteElectronicoExportacion","ComprobanteElectronicoExportacion",T
"NOTADEDEBITOELECTRONICAEXPORTACION","Nota de débito electrónica exportación de venta","Nota de débito electrónica exportación","E","Ent_ComprobanteElectronicoExportacion","ComprobanteElectronicoExportacion",T
"AGRUPAMIENTODEBUZONES","Agrupamientos de buzones","Agrupamientos de buzones","E","","",T
"ITEMAGRUPAMIENTOBUZONES","Item de agrupamientos de bases de datos","Item agrupamientos","I","","",F
"ITEMBUZONES","Item de agrupamientos de bases de datos","Item agrupamientos","I","","",F
"IMPRIMIRCOMPROBANTEPORLOTE","Imprimir comprobante por lote","Imprimir comprobante por lote","E","","",T
"ITEMACREDITACIONDEPLAN","Item acreditación de plan de cuotas","Item acreditación de plan de cuotas","I","","",F
"FORMULA","Fórmulas de modificación de precios","Fórmulas de modificación de precios","E","","",T
"SALTODECAMPO","Comportamiento de atributos","Comportamiento de atributos","E","","",T
"COMISION","Comisiones por venta","Comisiones por ventas","E","","",T
"CLASEDETARJETA","Clases de tarjetas","Clases de tarjetas","E","","",T
"ITEMCLASEDETARJETA","Items de operadora de tarjeta","Linea detalle clases de tarjeta","I","","",F
"ITEMINVENTARIOSFISICO","Item de inventarios físicos","Item de inventarios físicos","I","","",F
"TIInventarioFisicoDetalleTmp","Detalle de inventario físico temporal","Detalles de inventarios físicos temporal","E","","",F
"Mercaderiaentransito","Mercadería en tránsito","Mercadería en tránsito","E","Ent_ComprobanteMovStock","Comprobante",T
"Itemmercentransito","Items de mercadería en tránsito","Items de mercadería en tránsito","I","MovStock","",F
"ItemCoincidenciaPicking","Item coincidencias picking","Coincidencias picking","I","","",F
"ItemDifOriginalPicking","Item diferencias originales","Item diferencias originales","I","","",F
"MINIMOREPOSICION","Mínimo de reposición","Mínimo de reposición","E","","",T
"ITEMMINIMOREPOSICION","Item mínimo de reposición","Item mínimo de reposición","I","","",F
"ITEMENTIDADES","Item entidades","Item entidades","I","","",F
"ITEMENTIDADESIMPO","Item entidades importación","Item entidades importación","I","","",F
"ITEMENTIDADESEXPO","Item entidades exportación","Item entidades exportación","I","","",F
"LISTADOSPERSONALIZADOS","Listados personalizados por el usuario","Listados personalizados","E","","",F
"ITEMFILTROPERSONALIZADO","Item para almacenar los filtros perzonalizados personales","Filtros perzonalizados personales","I","","",F
"ITEMCAMPOPERSONALIZADO","Item para almacenar los campos perzonalizados personales","Campos perzonalizados personales","I","","",F
"ITEMCAMPOSUBTOTAL","Item para almacenar los campos subtotales personales","Campos subtotales personales","I","","",F
"ITEMFORMATOSALIDA","Item para almacenar los formatos de salida personales","Formatos de salida personales","I","","",F
"REGISTRODEMANTENIMIENTO","Registro de mantenimiento del sistema","Registro de mantenimiento del sistema","E","","",T
"PROMOCION","Promociones","Promociones","E","","",T
"SELECCIONPARAINSERTAR","Selecciones de entidades","Selección de entidades","E","ent_virtual","",T
"ITEMPROMOCIONES","Item para almacenar las promociones aplicadas","Item para almacenar las promociones aplicadas","I","Promociones","",F
"ITEMPROMOARTICULOS","Item relacion articulos- promos","Item relacion articulos- promos","I","","",F
"PAGO","Pago","Pago","E","","",T
"ITEMPAGO","Item de pago","","I","","",F
"ITEMPAGOVALORES","Items de valores pago","","I","","",F
"AJUSTEDEESTADOS","Ajuste de situaciones de estado según comprobantes","Ajuste de situaciones de estado según comprobantes","E","","",T
"ITEMAJUSTEDEESTADOS","Items de ajuste de estados","Items de ajuste de estados","I","AjusteCombinacionEstados","",F
"ITEMAJESTADOSAUDCOMB","Item ajuste de estados por auditoria de combinaciones","Ajuste de estados por auditoria de combinaciones","I","AjusteCombinacionEstados","",F
"ITEMAJUSTECOMPROBANTES","Item comprobantes a modificar","Item comprobantes a modificar","I","AjusteCombinacionEstados","",F
"ItemRetenciones","Item retenciones proveedor","Retenciones proveedor","I","","",F
"ITEMIMPUESTOORDENDEPAGO","Item impuestos orden de pago","Item impuestos orden de pago","I","","",F
"ITEMIMPUESTOPAGO","Item impuestos pago","Item impuestos pago","I","","",F
"COMPROBANTEDERETENCIONES","Comprobante de retención de ingresos brutos","Comprobante de retención de ingresos brutos","E","Ent_ComprobanteDeRetencionesBase","ComprobanteDeRetencionesBase",T
"ITEMCDRCOMPROBANTES","Items comprombates del comprobante de recepciones","Items comprombates del comprobante de recepciones","I","","",F
"ITEMCDRIMPUESTOS","Items impuestos de comprobante de retención","Items impuestos de comprobante de retención","I","","",F
"CONVENIOMULTILATERAL","Convenio multilateral","Convenio multilateral","E","","",T
"ITEMCONVENIO","Item convenio","Item convenio","I","","",F
"ITEMARTICULOSPRECOMPRA","Items de presupuestos de compra","Linea detalle presupuesto de compra","I","ARTICULOSCOMPRA","",F
"ITEMIMPUESTOSPREC","Items de impuestos de presupuesto de compra","","I","IMPUESTOS","",F
"ITEMIMPUESTOPRECOMPRA","Item impuestos presupuesto compra","Item impuestos presupuesto compra","I","IMPUESTOSCOMPRAS","",T
"PRESUPUESTODECOMPRA","Presupuesto de compra","Presupuesto de compra","E","Ent_ComprobanteDeComprasSinValores","ComprobanteDeComprasSinValores",T
"ITEMARTICULOSPEDCOMPRA","Items de pedido de compra","Linea detalle pedido de compra","I","ARTICULOSCOMPRA","",F
"ITEMIMPUESTOSPEDC","Items de impuestos de pedido de compra","","I","IMPUESTOS","",F
"ITEMIMPUESTOPEDCOMPRA","Item impuestos pedido de compra","Item impuestos pedido de compra","I","IMPUESTOSCOMPRAS","",T
"PEDIDODECOMPRA","Pedido de compra","Pedido de compra","E","Ent_ComprobanteDeComprasSinValores","ComprobanteDeComprasSinValores",T
"ITEMARTICULOSSOLCOMPRA","Items de pedido de compra","Linea detalle pedido de compra","I","ARTICULOSCOMPRA","",F
"ITEMIMPUESTOSSOLC","Items de impuestos de pedido de compra","","I","IMPUESTOS","",F
"ITEMIMPUESTOSOLCOMPRA","Item impuestos pedido de compra","Item impuestos pedido de compra","I","IMPUESTOSCOMPRAS","",T
"SOLICITUDDECOMPRA","Solicitud de compra","Solicitud de compra","E","Ent_ComprobanteDeComprasSinValores","ComprobanteDeComprasSinValores",T
"REQUERIMIENTODECOMPRA","Requerimiento de compra","Requerimiento de compra","E","Ent_ComprobanteDeComprasSinValores","ComprobanteDeComprasSinValores",T
"ITEMARTICULOSREQCOMPRA","Items de requerimiento de compra","Linea detalle requerimiento de compra","I","ARTICULOSCOMPRA","",F
"ITEMIMPUESTOSREQC","Items de impuestos de requerimiento de compra","","I","IMPUESTOS","",F
"ITEMIMPUESTOREQCOMPRA","Item impuestos requerimiento de compra","Item impuestos requerimiento de compra","I","IMPUESTOSCOMPRAS","",T
"REMITODECOMPRA","Remito de compra","Remito de compra","E","Ent_ComprobanteDeComprasSinValores","ComprobanteDeComprasSinValores",T
"CANCELACIONDECOMPRA","Cancelación de compra","Cancelación de compra","E","Ent_ComprobanteDeComprasSinValores","ComprobanteDeComprasSinValores",T
"ITEMARTICULOSREMCOMPRA","Items de remito de compra","Linea detalle remito de compra","I","ARTICULOSCOMPRA","",F
"ITEMARTICULOSCANCOMPRA","Items de cancelación de compra","Linea detalle cancelación de compra","I","ARTICULOSCOMPRA","",F
"ITEMIMPUESTOREMCOMPRA","Item impuestos remito de compra","Item impuestos remito de compra","I","IMPUESTOSCOMPRAS","",T
"ITEMIMPUESTOCANCOMPRA","Item impuestos cancelación de compra","Item impuestos cancelación de compra","I","IMPUESTOSCOMPRAS","",T
"ITEMIMPUESTOSREMC","Items de impuestos de remito de compra","","I","IMPUESTOS","",F
"ITEMIMPUESTOSCANC","Items de impuestos de cancelación de compra","","I","IMPUESTOS","",F
"PROPIEDADESLISTADOS","Propiedades listados","Propiedades avanzadas en listados","E","","",T
"AJUSTEDECUPON","Ajuste de cupón","Ajuste de cupón","E","","",F
"BOLSASYCAJAS","Bolsas y cajas","Bolsas y cajas","E","","",T
"ITEMBOLSASYCAJAS","Item bolsas y cajas","Item bolsas y cajas","I","","",F
"AJUSTECCCLIENTE","Ajuste de cuenta corriente de clientes","Ajuste de cuenta corriente de clientes","E","","",T
"ITEMAJUSTECCCLIENTE","Item de ajuste de cuenta corriente de clientes","Item de ajuste de cuenta corriente de clientes","I","","",F
"ITEMAJUSTECCPROVEEDOR","Item de ajuste de cuenta corriente de proveedores","Item de ajuste de cuenta corriente de proveedores","I","","",F
"AJUSTECCPROVEEDOR","Ajuste de cuenta corriente de proveedores","Ajuste de cuenta corriente de proveedores","E","","",T
"CANCELACIONDESENIAS","Cancelación de señas","Cancelación de señas","E","","",T
"ITEMCANCELACIONDESENIAS","Item de cancelación de señas","Item de cancelación de señas","I","","",F
"GTIN","Gtin","Códigos RG 2904/10","E","","",T
"ITEMEQUIGTIN","Item de equivalencia GTIN","Item de equivalencia GTIN","I","","",F
"SITUACIONFISCAL","Situación fiscal","Situación fiscal","E","","",F
"PASAJEDESTOCK","Pasaje de stock","Pasaje de stock","E","","",T
"SELECCIONBASESARCHIVADAS","Selecciones de bases de datos archivadas","Selecciones de bases de datos archivadas","E","","",T
"Precargaetiart","Pre-carga para impresión de etiquetas de artículos","Pre-carga para impresión de etiquetas de artículos","E","","",T
"NUEVOENBASEA","Nuevo en base a","Nuevo en base a","E","ent_virtual","",T
"ITEMCOMPROBANTESENBASEA","Item comprobantes","Item comprobantes","I","ComprobantesEnBasea","",T
"LISTADEPRECIOSCALCULADA","Listas de precios definidas por fórmulas","Listas de precios definidas por fórmulas","E","","",T
"Padroniibb","Padron IIBB","Padrón I.I.B.B.","E","","",F
"REGISTRODEACTIVIDAD","Registros de actividad","Registros de actividad","E","","",F
"CONCILIACIONDECAJA","Ajuste de movimientos y saldos de caja según comprobantes","Ajuste de movimientos y saldos de caja según comprobantes","E","","",T
"ITEMCONCILIAMOVIMIENTO","Items de conciliacion de movimientos de caja","Items de conciliacion de movimientos","I","","",F
"ITEMCONCILIASALDO","Items de conciliacion de saldos de caja","Items de conciliacion de saldos","I","","",F
"POOLDECLASE","Pool de clase","Pool de clase","E","","",F
"ACCESOAOBJETO","Acceso a objeto","Acceso a objeto","E","","",F
"ITEMMONEDASDETARJETA","Items de monedas de tarjetas","","I","","",F
"EXPRESIONLISTADOPERSONALIZADO","Expresión listado personalizado","Expresión listado personalizado","E","","",F
"ITEMCOMISIONVENDEDOR","Items de comisión de vendedores","Items de comisión de vendedores","I","","",F
"Cuponeshuerfanos","Cupones huérfanos","Cupones huérfanos","E","","",T
"ITEMCUPONHUERFANO","Item cupón huerfano","","I","Cupon","",F
"NOMENCLADORARBA","Nomenclador ARBA","Nomenclador ARBA","E","","",T
"GRUPO","Grupo","Grupos de artículos","E","","",T
"CLASIFICACIONARTICULO","Clasificaciones de artículos","Clasificaciones de artículos","E","","",T
"UnidadDeMedidaARBA","Unidad de medida ARBA","Unidades de medida ARBA","E","","",T
"ITEMVEHICULO","Item vehículo","Items de vehículo","I","","",T
"REMITOELECTRONICO","Remito electrónico","Remito electrónico","E","","",T
