componente,descripcion,graba,version_exe,version_zoo,version_cli,entidad,orden,combinacion,componentesrelacionados,herencia
"AjusteCCValoresVentas","Ajuste de Cuenta Corriente de Clientes",T,0.00,0,0,"CtaCte",25,"","","ComponenteCuentaCorrienteValoresVentas"
"CuentaCorrienteValoresCompras","Componente CtaCte Valores Compras",T,0.00,0,0,"CtaCteCompra",18,"CtaCteCompra","","CuentaCorrienteComprasBase"
"CuentaCorrienteOrdenDePagoCompras","CuentaCorrienteOrdenDePagoCompras",T,0.00,0,0,"CtaCteCompra",19,"CtaCteCompra","","CuentaCorrienteComprasBase"
"CuentaCorrientePagoCompras","Cuenta CorrienteP ago Compras",T,0.00,0,0,"CtaCteCompra",22,"CtaCteCompra","","CuentaCorrienteComprasBase"
"AjusteCCValoresCompras","Ajuste de Cuenta Corriente de Proveedores",T,0.00,0,0,"CtaCteCompra",26,"","","ComponenteCuentaCorrienteValoresCompras"
"DatosAdicionalesComprobantesA","Componente Datos adicionales comprobantes A",T,0.00,0,0,"DatosAdicionalesComprobantesA",34,"","",""
"DatosAdicionalesSIRE","Componente Datos adicionales SIRE",T,0.00,0,0,"DatosAdicionalesSIRE",44,"","",""
"DisenoImpresion","Componente diseno de impresion",T,0.00,0,0,"DisenoImpresion",28,"","",""
"EntregaDeMercaderias","Componente Entrega de Mercaderias",T,0.00,0,0,"ENTREGADEMERCADERIAS",38,"","",""
"FinalDeProduccion","Comoponente Final de Producción",T,0.00,0,0,"FinalDeProduccion",55,"","",""
"GestionDeProduccion","Comoponente Gestión de Producción",T,0.00,0,0,"GestionDeProduccion",56,"","",""
"MovimientoStockAInvent","Componente Moviemiento de Stock entre Inventarios",T,0.00,0,0,"MovimientoStockAInvent",58,"","",""
"MovimientoStockAProducc","Componente Moviemiento de Stock a Producción",T,0.00,0,0,"MovimientoStockAProducc",57,"","",""
"MovimientoStockDesdeProducc","Componente Moviemiento de Stock desde Producción",T,0.00,0,0,"MovimientoStockDesdeProducc",59,"","",""
"Ecommerce","Componente Ecommerce",T,0.00,0,0,"OPERACIONECOMMERCE,REMITO,PEDIDO,FACTURA,FACTURAELECTRONICA,TICKETFACTURA",39,"","",""
"ServiciosAlCliente","Componente Servicios alCliente",T,0.00,0,0,"ORDENDESERVICIO,INTERACCIONDEORDEN,REMITO,FACTURA,FACTURAELECTRONICA,TICKETFACTURA",42,"","",""
"StockProduccion","Componente Stock en Producción",T,0.00,0,0,"Stockinventario",54,"Stockinventario","",""
"TipoDeComprobanteDeCompra","Componente Tipo de comprobantes de compra",T,0.00,0,0,"TipoDeComprobanteDeCompra",50,"","",""
"ValesDeCambio","Componente Valores de Cambio",T,0.00,0,0,"ValeDeCambio",10,"ValeDeCambio","","ComponenteValores"
"GiftCard","Componente GiftCard",T,0.00,0,0,"ValeDeCambio",60,"","",""
"TarjetaDeCredito","Componente Tarjetas de Crédito",T,0.00,0,0,"cupon",14,"","","ComponenteValores"
"CierreDeLote","Componente Cierre de lote",T,0.00,0,0,"cupon",15,"","",""
"Precios","Componente Precios",T,0.00,0,0,"preciodearticulo",2,"preciodearticulo","",""
"Senias","Componente Señas",T,0.00,0,0,"senia",12,"senia","",""
"SeniasVencidas","Componente Señas Vencidas",T,0.00,0,0,"senia",12,"senia","",""
"stock","Componente Stock",T,0.00,0,0,"stockcombinacion",1,"stockcombinacion","",""
